,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
166,307750,KR7307750000,국전약품,KOSDAQ,우량기업부,7580,2,-80,-1.04,7540,7620,7450,204849,1544187650,371945059020,49069269,KSQ
167,143240,KR7143240000,사람인에이치알,KOSDAQ,우량기업부,31650,2,-1300,-3.95,32250,32750,31500,17257,550459600,369490423950,11674263,KSQ
168,267980,KR7267980001,매일유업,KOSDAQ,우량기업부,47100,2,-250,-0.53,47050,47450,46800,4070,191844750,369435349800,7843638,KSQ
169,092040,KR7092040005,아미코젠,KOSDAQ,기술성장기업부,18650,2,-350,-1.84,18400,18750,18400,33846,629607200,368425304200,19754708,KSQ
170,243070,KR7243070000,휴온스,KOSDAQ,우량기업부,30800,2,-300,-0.96,30600,31100,30400,9683,297809300,367614909200,11935549,KSQ
171,389260,KR7389260001,대명에너지,KOSDAQ,중견기업부,21600,2,-350,-1.59,21500,21950,21300,120797,2605178550,367200000000,17000000,KSQ
172,047920,KR7047920004,HLB제약,KOSDAQ,기술성장기업부,13150,2,-300,-2.23,13050,13350,13000,94628,1245670600,366505622500,27871150,KSQ
173,281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,5570,2,-60,-1.07,5430,5640,5410,292824,1622087210,366119152360,65730548,KSQ
174,035600,KR7035600006,KG이니시스,KOSDAQ,우량기업부,12900,2,-200,-1.53,12750,12950,12700,91949,1177635550,359967198600,27904434,KSQ
175,104830,KR7104830005,원익머트리얼즈,KOSDAQ,우량기업부,28300,2,-300,-1.05,27800,28450,27300,22508,631030800,356806400000,12608000,KSQ
176,038540,KR7038540001,상상인,KOSDAQ,우량기업부,6430,2,-80,-1.23,6440,6480,6350,58724,375207060,355761052590,55328313,KSQ
177,053030,KR7053030003,바이넥스,KOSDAQ,우량기업부,11200,2,-250,-2.18,11150,11350,11150,51124,573198200,355723737600,31761048,KSQ
178,061970,KR7061970000,엘비세미콘,KOSDAQ,우량기업부,7970,2,-30,-0.38,7830,8000,7780,87062,686950220,348963198240,43784592,KSQ
179,140410,KR7140410002,메지온,KOSDAQ,중견기업부,13000,2,-350,-2.62,12950,13100,12900,57765,749042650,347646234000,26742018,KSQ
180,382840,KR7382840007,원준,KOSDAQ,벤처기업부,23050,1,2200,10.55,20200,23950,20150,1577153,36277380050,347146207650,15060573,KSQ
181,090710,KR7090710005,휴림로봇,KOSDAQ,중견기업부,2105,2,-30,-1.41,2100,2125,2060,2003145,4192952215,344747844290,163775698,KSQ
182,217330,KR7217330000,싸이토젠,KOSDAQ,기술성장기업부,18950,2,-50,-0.26,18900,19200,18750,7776,146707850,338010031950,17836941,KSQ
183,033500,KR7033500000,동성화인텍,KOSDAQ,우량기업부,11300,1,200,1.8,10850,11300,10850,116981,1299105250,336333787600,29764052,KSQ
184,136510,KR7136510005,스마트솔루션즈,KOSDAQ,관리종목(소속부없음),11600,0,0,0.0,0,0,0,0,0,335276888000,28903180,KSQ
185,119610,KR7119610004,인터로조,KOSDAQ,우량기업부,25000,1,500,2.04,24400,25150,24250,18553,459751750,330411950000,13216478,KSQ
186,179900,KR7179900006,유티아이,KOSDAQ,벤처기업부,20250,2,-500,-2.41,20250,20900,19800,27481,554900200,329809623750,16286895,KSQ
187,293780,KR7293780003,압타바이오,KOSDAQ,기술성장기업부,14750,2,-300,-1.99,14850,15100,14600,200371,2984404300,328908273500,22298866,KSQ
188,030520,KR7030520001,한글과컴퓨터,KOSDAQ,우량기업부,12950,2,-350,-2.63,13000,13050,12800,53015,684632000,326389598500,25203830,KSQ
189,013120,KR7013120001,동원개발,KOSDAQ,우량기업부,3585,1,45,1.27,3530,3605,3495,44714,159686130,325547038500,90808100,KSQ
190,317330,KR7317330009,덕산테코피아,KOSDAQ,우량기업부,17700,1,500,2.91,17000,17800,16800,73127,1272690550,325280475600,18377428,KSQ
191,089970,KR7089970008,에이피티씨,KOSDAQ,우량기업부,13550,2,-150,-1.09,13400,13650,13300,25151,338617950,324937062250,23980595,KSQ
192,009520,KR7009520008,포스코엠텍,KOSDAQ,우량기업부,7730,1,460,6.33,7060,7740,7060,4194908,31541575180,321898094190,41642703,KSQ
193,078130,KR7078130002,국일제지,KOSDAQ,중견기업부,2500,2,-30,-1.19,2455,2570,2450,840111,2118431240,319043682500,127617473,KSQ
194,102710,KR7102710001,이엔에프테크놀로지,KOSDAQ,우량기업부,22250,2,-400,-1.77,22200,22300,21800,25810,570155150,317904351000,14287836,KSQ
195,078590,KR7078590007,디아크,KOSDAQ,관리종목(소속부없음),2380,0,0,0.0,0,0,0,0,0,316556560040,133006958,KSQ
196,080580,KR7080580004,오킨스전자,KOSDAQ,벤처기업부,17900,2,-150,-0.83,17750,18000,17750,4380,78301550,316459434200,17679298,KSQ
197,214870,KR7214870008,뉴지랩파마,KOSDAQ,중견기업부,9790,2,-200,-2.0,9670,9900,9670,19903,194742270,315335537770,32209963,KSQ
198,360070,KR7360070007,탑머티리얼,KOSDAQ,벤처기업부,39450,2,-950,-2.35,39450,40500,38700,553820,21964214400,314982331350,7984343,KSQ
199,095610,KR7095610002,테스,KOSDAQ,우량기업부,15900,2,-350,-2.15,15900,16000,15750,25192,399225400,314314793400,19768226,KSQ
200,101160,KR7101160000,월덱스,KOSDAQ,우량기업부,18950,2,-200,-1.04,18650,19050,18550,54469,1022261100,312883317350,16510993,KSQ
201,101670,KR7101670008,하이드로리튬,KOSDAQ,벤처기업부,16250,1,200,1.25,15550,16700,15350,1990022,32026807500,312806812500,19249650,KSQ
202,089600,KR7089600001,나스미디어,KOSDAQ,우량기업부,29600,2,-550,-1.82,29500,30250,29500,52922,1576073300,311982875200,10539962,KSQ
203,100120,KR7100120005,뷰웍스,KOSDAQ,우량기업부,31050,2,-50,-0.16,30750,31350,30300,20329,628163950,310557908250,10001865,KSQ
204,059090,KR7059090001,미코,KOSDAQ,우량기업부,9280,1,210,2.32,8740,9350,8730,587852,5394004710,310107699840,33416778,KSQ
205,131390,KR7131390007,원익피앤이,KOSDAQ,우량기업부,20850,1,850,4.25,20000,22500,20000,1039474,22296196150,308974273500,14818910,KSQ
206,027360,KR7027360007,아주IB투자,KOSDAQ,벤처기업부,2535,2,-30,-1.17,2500,2555,2470,368307,928034690,306286193460,120822956,KSQ
207,101360,KR7101360006,이엔드디,KOSDAQ,우량기업부,28850,1,400,1.41,27650,29050,27600,60323,1725326500,306059148600,10608636,KSQ
208,048550,KR7048550008,SM C&C,KOSDAQ,중견기업부,3200,1,5,0.16,3150,3235,3100,355027,1127725055,306000384000,95625120,KSQ
209,149950,KR7149950008,아바텍,KOSDAQ,우량기업부,19550,1,50,0.26,19450,20500,19100,93522,1875424250,305126625000,15607500,KSQ
210,034950,KR7034950006,한국기업평가,KOSDAQ,우량기업부,67200,2,-300,-0.44,67500,68300,66600,1217,81742500,305122540800,4540514,KSQ
211,048530,KR7048530000,인트론바이오,KOSDAQ,기술성장기업부,8910,2,-240,-2.62,8980,9060,8830,133573,1190557280,304283289420,34150762,KSQ
212,039840,KR7039840004,디오,KOSDAQ,우량기업부,19100,2,-600,-3.05,19150,19400,18950,19411,371270450,303341520500,15881755,KSQ
213,063170,KR7063170005,서울옥션,KOSDAQ,중견기업부,16950,2,-650,-3.69,17100,17300,16850,117992,2007607500,301273825650,17774267,KSQ
214,054210,KR7054210000,이랜텍,KOSDAQ,우량기업부,11900,2,-100,-0.83,11650,12000,11500,184715,2181607750,300965399000,25291210,KSQ
215,100130,KR7100130004,동국S&C,KOSDAQ,우량기업부,5250,1,40,0.77,5070,5260,5070,292403,1517694020,300000750000,57143000,KSQ
216,050890,KR7050890003,쏠리드,KOSDAQ,우량기업부,4795,1,265,5.85,4650,4945,4565,1659567,7967922005,293557763800,61221640,KSQ
217,067000,KR7067000000,조이시티,KOSDAQ,우량기업부,4270,2,-65,-1.5,4210,4320,4200,129353,550028855,292553665530,68513739,KSQ
218,108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,24500,1,950,4.03,23000,24600,22900,417649,10048403350,292344363500,11932423,KSQ
219,013030,KR7013030002,하이록코리아,KOSDAQ,우량기업부,21400,1,550,2.64,20400,21550,20200,57934,1222210050,291323164800,13613232,KSQ
220,058820,KR7058820002,CMG제약,KOSDAQ,중견기업부,2095,2,-55,-2.56,2110,2115,2075,373415,781255495,290979251180,138892244,KSQ
221,036810,KR7036810000,에프에스티,KOSDAQ,우량기업부,13350,1,50,0.38,13000,13450,12800,47896,628833150,290453133150,21756789,KSQ
222,123860,KR7123860009,아나패스,KOSDAQ,벤처기업부,24800,1,150,0.61,24950,25650,24650,24770,619994500,290323109600,11706577,KSQ
223,063080,KR7063080006,컴투스홀딩스,KOSDAQ,우량기업부,43950,2,-1550,-3.41,44150,44850,43750,62171,2752402450,289858688400,6595192,KSQ
224,340570,KR7340570001,티앤엘,KOSDAQ,중견기업부,35650,2,-550,-1.52,35900,35900,35350,15781,562100550,289763200000,8128000,KSQ
225,328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,23600,2,-1800,-7.09,24450,24950,22800,117552,2842162200,288474080800,12223478,KSQ
226,136480,KR7136480001,하림,KOSDAQ,중견기업부,2715,1,5,0.18,2670,2735,2665,233327,631818380,288359340930,106209702,KSQ
227,371950,KR7371950007,풍원정밀,KOSDAQ,기술성장기업부,13600,3,0,0.0,13450,14100,13250,85159,1167128150,286150636800,21040488,KSQ
228,122450,KR7122450000,KX,KOSDAQ,중견기업부,6290,2,-40,-0.63,6290,6350,6170,12505,78835120,285163213560,45335964,KSQ
229,060720,KR7060720000,KH바텍,KOSDAQ,중견기업부,11900,2,-200,-1.65,11850,11950,11700,202236,2381584550,281761559800,23677442,KSQ
230,256840,KR7256840000,한국비엔씨,KOSDAQ,벤처기업부,4160,2,-15,-0.36,4120,4240,4020,889662,3696585360,281143150080,67582488,KSQ
231,041830,KR7041830001,인바디,KOSDAQ,우량기업부,20400,2,-250,-1.21,20250,20700,20200,15741,322113150,279149152800,13683782,KSQ
232,060280,KR7060280005,큐렉소,KOSDAQ,중견기업부,7170,1,30,0.42,7080,7290,7010,29573,211281700,278963835300,38907090,KSQ
