,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
700,000910,KR7000910000,유니온,KOSPI,,5350,2,-20,-0.37,5280,5360,5190,79596,421732050,83522161650,15611619,STK
701,134790,KR7134790005,시디즈,KOSPI,,41750,2,-400,-0.95,41550,42350,41200,4969,206556800,83500000000,2000000,STK
702,017180,KR7017180001,명문제약,KOSPI,,2455,2,-30,-1.21,2450,2490,2400,17678,43007810,83355729570,33953454,STK
703,008250,KR7008250003,이건산업,KOSPI,,7610,2,-100,-1.3,7550,7700,7510,77536,589163940,83349552350,10952635,STK
704,078000,KR7078000007,텔코웨어,KOSPI,,8590,3,0,0.0,8610,8640,8500,2604,22201500,83346244540,9702706,STK
705,003720,KR7003720000,삼영화학,KOSPI,,2440,2,-35,-1.41,2440,2460,2330,65069,156313605,82960000000,34000000,STK
706,003010,KR7003010006,혜인,KOSPI,,6520,1,80,1.24,6250,6600,6250,447848,2903309880,82887110440,12712747,STK
707,28513K,KR728513K010,SK케미칼우,KOSPI,,39050,2,-1250,-3.1,39950,39950,38800,13663,535520050,82607502450,2115429,STK
708,004840,KR7004840005,DRB동일,KOSPI,,4125,2,-20,-0.48,4140,4160,4100,8827,36431830,82211250000,19930000,STK
709,004410,KR7004410007,서울식품,KOSPI,,219,2,-1,-0.45,216,220,216,997988,217861699,82071467421,374755559,STK
710,023350,KR7023350002,한국종합기술,KOSPI,,7480,1,340,4.76,6960,7560,6960,558481,4119768460,81906000000,10950000,STK
711,021820,KR7021820006,세원정공,KOSPI,,8090,0,0,0.0,0,0,0,0,0,80900000000,10000000,STK
712,003350,KR7003350006,한국화장품제조,KOSPI,,17850,2,-450,-2.46,17900,18150,17750,6510,116287400,80896200000,4532000,STK
713,014710,KR7014710008,사조씨푸드,KOSPI,,4685,2,-35,-0.74,4645,4720,4605,27493,127691575,80668873955,17218543,STK
714,002220,KR7002220002,한일철강,KOSPI,,3000,2,-20,-0.66,2995,3015,2955,13707,40980810,80092380000,26697460,STK
715,002410,KR7002410009,범양건영,KOSPI,,3220,1,20,0.63,3105,3225,3105,104743,331389020,79958982040,24831982,STK
716,129260,KR7129260006,인터지스,KOSPI,,2685,2,-15,-0.56,2670,2685,2635,41207,109906705,79873041690,29747874,STK
717,214420,KR7214420002,토니모리,KOSPI,,3320,2,-60,-1.78,3395,3395,3305,17435,58051320,79861932680,24054799,STK
718,009810,KR7009810003,플레이그램,KOSPI,,877,2,-14,-1.57,880,887,870,197180,173161945,78681866882,89717066,STK
719,004830,KR7004830006,덕성,KOSPI,,5010,2,-70,-1.38,5000,5040,4960,48905,244305380,78556800000,15680000,STK
720,001560,KR7001560002,제일연마,KOSPI,,7850,2,-200,-2.48,7990,8070,7500,25062,196435980,78500000000,10000000,STK
721,004770,KR7004770004,써니전자,KOSPI,,2235,2,-45,-1.97,2230,2270,2220,135843,304328555,77878599585,34845011,STK
722,016740,KR7016740003,두올,KOSPI,,2345,2,-20,-0.85,2325,2365,2310,22663,53046020,77541364600,33066680,STK
723,013700,KR7013700000,까뮤이앤씨,KOSPI,,1715,1,5,0.29,1675,1725,1670,116075,197461385,77436160200,45152280,STK
724,155660,KR7155660004,DSR,KOSPI,,4830,1,25,0.52,4755,4830,4740,8764,41950410,77280000000,16000000,STK
725,090370,KR7090370008,메타랩스,KOSPI,,620,2,-2,-0.32,629,638,609,65665,40757379,77204537760,124523448,STK
726,002880,KR7002880003,대유에이텍,KOSPI,,668,2,-2,-0.3,660,677,653,124897,83259667,76938653500,115177625,STK
727,015590,KR7015590003,큐로,KOSPI,,332,2,-1,-0.3,331,334,328,59935,19854654,76762263816,231211638,STK
728,031820,KR7031820004,콤텍시스템,KOSPI,,632,2,-8,-1.25,635,637,625,231395,145763487,76504526512,121051466,STK
729,004440,KR7004440004,삼일씨엔에스,KOSPI,,6000,2,-80,-1.32,6010,6040,5970,6162,37047970,76391682000,12731947,STK
730,001550,KR7001550003,조비,KOSPI,,14700,2,-200,-1.34,14500,14800,14300,8192,118924900,76325913300,5192239,STK
731,338100,KR7338100001,NH프라임리츠,KOSPI,,4080,2,-40,-0.97,4120,4120,4060,7295,29760585,76132800000,18660000,STK
732,100220,KR7100220003,비상교육,KOSPI,,5820,2,-50,-0.85,5860,5900,5760,5296,30743970,75641032620,12996741,STK
733,049800,KR7049800006,우진플라임,KOSPI,,3765,3,0,0.0,3765,3770,3690,15153,56800115,75300000000,20000000,STK
734,010100,KR7010100006,한국프랜지,KOSPI,,2450,2,-45,-1.8,2450,2485,2430,9606,23549965,74603529000,30450420,STK
735,012170,KR7012170007,아센디오,KOSPI,,926,1,3,0.33,923,933,905,37503,34601447,74551515496,80509196,STK
736,004450,KR7004450003,삼화왕관,KOSPI,,34600,2,-600,-1.7,34950,34950,34400,1178,40763950,74541513400,2154379,STK
737,071090,KR7071090005,하이스틸,KOSPI,,3675,1,35,0.96,3560,3710,3530,111626,405214995,74203655925,20191471,STK
738,000157,KR7000152009,두산2우B,KOSPI,,82700,1,1000,1.22,80800,83500,80800,3986,328650600,73854242600,893038,STK
739,009320,KR7009320003,대우부품,KOSPI,,1545,2,-5,-0.32,1515,1545,1505,57424,87695645,73613649375,47646375,STK
740,044820,KR7044820009,코스맥스비티아이,KOSPI,,7660,2,-120,-1.54,7730,7780,7610,3830,29424820,73566034860,9603921,STK
741,33637K,KR733637K010,솔루스첨단소재1우,KOSPI,,8670,1,50,0.58,8500,8700,8500,6457,55596120,73306748730,8455219,STK
742,002630,KR7002630002,오리엔트바이오,KOSPI,,617,2,-3,-0.48,619,619,611,116487,71712754,73165714085,118583005,STK
743,008420,KR7008420002,문배철강,KOSPI,,3515,1,35,1.01,3435,3700,3340,838742,2996785370,72069820075,20503505,STK
744,085310,KR7085310001,엔케이,KOSPI,,897,2,-9,-0.99,900,900,887,25100,22357104,71745066744,79983352,STK
745,090080,KR7090080003,평화산업,KOSPI,,1305,1,30,2.35,1260,1330,1250,571179,746752975,71647447995,54902259,STK
746,006090,KR7006090005,사조오양,KOSPI,,7600,2,-10,-0.13,7570,7600,7520,6832,51788070,71612816400,9422739,STK
747,009180,KR7009180001,한솔로지스틱스,KOSPI,,2590,2,-25,-0.96,2565,2610,2565,53351,138098900,71166530750,27477425,STK
748,012160,KR7012160008,영흥,KOSPI,,701,2,-5,-0.71,695,706,693,41043,28693097,71018570772,101310372,STK
749,378850,KR7378850002,화승알앤에이,KOSPI,,3730,2,-15,-0.4,3625,3800,3620,45410,169324030,70846213790,18993623,STK
750,000500,KR7000500009,가온전선,KOSPI,,16900,3,0,0.0,16600,17100,16450,6271,104961850,70309864300,4160347,STK
751,019175,KR7019171008,신풍제약우,KOSPI,,31950,2,-400,-1.24,31550,32400,31550,776,24833350,70290000000,2200000,STK
752,069460,KR7069460004,대호에이엘,KOSPI,,1340,2,-25,-1.83,1330,1345,1320,139092,185279300,69684715460,52003519,STK
753,002920,KR7002920007,유성기업,KOSPI,,2675,2,-5,-0.19,2670,2695,2655,7623,20339710,69409562500,25947500,STK
754,000850,KR7000850008,화천기공,KOSPI,,30850,2,-50,-0.16,30900,31000,30500,1344,41263300,67870000000,2200000,STK
755,034300,KR7034300004,신세계건설,KOSPI,,16950,1,400,2.42,16300,17000,16150,5798,96439150,67800000000,4000000,STK
756,111110,KR7111110003,호전실업,KOSPI,,6950,2,-110,-1.56,6980,7040,6880,23438,162539750,67762388800,9749984,STK
757,005110,KR7005110002,한창,KOSPI,,849,2,-5,-0.59,854,854,840,323530,274119113,67406922132,79395668,STK
758,019180,KR7019180009,티에이치엔,KOSPI,,3740,1,35,0.94,3650,3765,3605,65544,241375660,67320000000,18000000,STK
759,120115,KR7120111000,코오롱인더우,KOSPI,,24300,1,150,0.62,24100,24500,23500,1817,43832550,67258998000,2767860,STK
760,069730,KR7069730000,DSR제강,KOSPI,,4660,2,-30,-0.64,4535,4680,4535,14001,64414460,67104000000,14400000,STK
761,027970,KR7027970003,세하,KOSPI,,1165,2,-15,-1.27,1170,1175,1140,55565,63957190,67060891505,57562997,STK
762,000105,KR7000101006,유한양행우,KOSPI,,56300,2,-500,-0.88,56700,56700,55600,88,4961500,66486922000,1180940,STK
763,133820,KR7133820001,화인베스틸,KOSPI,,2230,2,-5,-0.22,2210,2230,2165,7754,17082310,66413728430,29781941,STK
764,013520,KR7013520002,화승코퍼레이션,KOSPI,,1325,2,-25,-1.85,1335,1355,1305,56475,74859960,66317908900,50051252,STK
765,014440,KR7014440002,영보화학,KOSPI,,3290,2,-35,-1.05,3320,3320,3230,6272,20453000,65800000000,20000000,STK
766,011390,KR7011390002,부산산업,KOSPI,,62100,2,-1600,-2.51,62000,62700,61600,993,61509900,65577600000,1056000,STK
767,002795,KR7002791002,아모레G우,KOSPI,,10150,2,-150,-1.46,10100,10250,10050,7966,80862450,65404265500,6443770,STK
768,026940,KR7026940007,부국철강,KOSPI,,3255,2,-5,-0.15,3215,3290,3195,37043,119967880,65100000000,20000000,STK
769,000590,KR7000590000,CS홀딩스,KOSPI,,56300,1,100,0.18,56200,56600,55300,753,42097200,64997336600,1154482,STK
770,357250,KR7357250000,미래에셋맵스리츠,KOSPI,,3225,1,5,0.16,3215,3255,3185,42531,137497230,64822500000,20100000,STK
771,004270,KR7004270005,남성,KOSPI,,1785,2,-25,-1.38,1755,1800,1750,28479,50583910,64638705600,36212160,STK
772,143210,KR7143210003,핸즈코퍼레이션,KOSPI,,2955,2,-75,-2.48,3025,3025,2940,9789,29028490,64605956940,21863268,STK
773,000725,KR7000721001,현대건설우,KOSPI,,61100,1,600,0.99,58100,63500,58100,4060,247998200,64441742300,1054693,STK
774,006980,KR7006980007,우성,KOSPI,,20750,2,-100,-0.48,20250,21450,20250,11159,233181350,64117500000,3090000,STK
775,014990,KR7014990006,인디에프,KOSPI,,906,1,175,23.94,727,940,671,16576588,14173830256,64065973470,70712995,STK
776,005750,KR7005750005,대림B&Co,KOSPI,,3835,2,-45,-1.16,3835,3885,3800,5600,21427485,63938040400,16672240,STK
777,009770,KR7009770009,삼정펄프,KOSPI,,25300,2,-400,-1.56,25300,25400,24950,764,19229350,63249266300,2499971,STK
778,023810,KR7023810005,인팩,KOSPI,,6270,2,-100,-1.57,6210,6350,6200,10186,63669190,62700000000,10000000,STK
779,078935,KR7078931003,GS우,KOSPI,,35100,3,0,0.0,35000,35100,34850,545,19038200,62647392600,1784826,STK
780,001380,KR7001380005,SG글로벌,KOSPI,,1385,1,10,0.73,1345,1390,1340,280593,383845455,62275338055,44964143,STK
781,021050,KR7021050000,서원,KOSPI,,1300,2,-20,-1.52,1280,1315,1280,46737,60473425,61716967000,47474590,STK
782,001620,KR7001620004,케이비아이동국실업,KOSPI,,598,2,-11,-1.81,603,608,590,58524,35134699,59963263568,100273016,STK
783,003080,KR7003080009,성보화학,KOSPI,,2985,2,-30,-1.0,2950,3010,2950,17389,51765890,59759700000,20020000,STK
784,020760,KR7020760005,일진디스플,KOSPI,,1155,2,-10,-0.86,1160,1160,1135,65343,74813170,59498370855,51513741,STK
785,005360,KR7005360003,모나미,KOSPI,,3145,2,-45,-1.41,3155,3190,3135,43382,136822185,59432030515,18897307,STK
786,041650,KR7041650003,상신브레이크,KOSPI,,2765,2,-5,-0.18,2735,2775,2700,10546,28880510,59368559250,21471450,STK
787,000215,KR7000211003,DL우,KOSPI,,35150,2,-600,-1.68,35750,35750,35150,1140,40414150,59266942250,1686115,STK
788,051630,KR7051630002,진양화학,KOSPI,,3695,2,-50,-1.34,3740,3740,3675,15528,57554110,58381000000,15800000,STK
789,006805,KR7006801005,미래에셋증권우,KOSPI,,4145,1,5,0.12,4135,4150,4130,3050,12643455,58343983750,14075750,STK
790,007980,KR7007980006,태평양물산,KOSPI,,1205,2,-15,-1.23,1205,1215,1190,75224,90595085,58020252335,48149587,STK
791,023150,KR7023150006,MH에탄올,KOSPI,,7860,2,-50,-0.63,7900,7940,7800,9093,71706080,57995214360,7378526,STK
792,025530,KR7025530007,SJM홀딩스,KOSPI,,3875,1,40,1.04,3725,4000,3715,391568,1518307945,57869281000,14934008,STK
793,37550L,KR737550K029,DL이앤씨2우(전환),KOSPI,,27300,2,-200,-0.73,27050,27500,27050,138,3759850,57656262300,2111951,STK
794,008870,KR7008870008,금비,KOSPI,,57600,2,-800,-1.37,57900,58000,57000,1477,84739700,57600000000,1000000,STK
795,010640,KR7010640001,진양폴리,KOSPI,,5710,2,-40,-0.7,5690,5720,5600,23510,132726070,57100000000,10000000,STK
796,005320,KR7005320007,국동,KOSPI,,1020,2,-5,-0.49,1010,1030,1005,129459,131522325,56517573720,55409386,STK
797,006200,KR7006200000,한국전자홀딩스,KOSPI,,1200,3,0,0.0,1190,1220,1165,105359,126276105,56163763200,46803136,STK
798,023960,KR7023960008,에쓰씨엔지니어링,KOSPI,,1795,2,-25,-1.37,1765,1850,1765,171276,307498105,56092592225,31249355,STK
799,015260,KR7015260003,에이엔피,KOSPI,,1930,2,-30,-1.53,1935,1960,1880,91524,175034610,56062290670,29047819,STK
800,092780,KR7092780006,동양피스톤,KOSPI,,4255,2,-20,-0.47,4230,4300,4170,14914,63300725,56031797300,13168460,STK
801,001020,KR7001020007,페이퍼코리아,KOSPI,,1175,2,-10,-0.84,1165,1180,1155,64966,75772680,55891001750,47566810,STK
802,011300,KR7011300001,성안,KOSPI,,970,2,-9,-0.92,977,977,943,288715,278234025,55152124200,56857860,STK
803,001140,KR7001140003,국보,KOSPI,,692,2,-30,-4.16,719,719,686,878295,613703213,54931499068,79380779,STK
804,014130,KR7014130009,한익스프레스,KOSPI,,4545,2,-5,-0.11,4470,4570,4470,3183,14371840,54540000000,12000000,STK
805,009440,KR7009440009,KC그린홀딩스,KOSPI,,2430,2,-70,-2.8,2470,2470,2360,34071,81466875,54517001400,22434980,STK
806,000040,KR7000040006,KR모터스,KOSPI,,564,1,5,0.89,559,568,553,176469,99024644,54222094260,96138465,STK
807,007610,KR7007610009,선도전기,KOSPI,,3000,0,0,0.0,0,0,0,0,0,54000000000,18000000,STK
808,001275,KR7001271006,부국증권우,KOSPI,,17950,3,0,0.0,17950,17950,17900,132,2364150,53850000000,3000000,STK
809,011090,KR7011090008,에넥스,KOSPI,,887,2,-11,-1.22,886,893,872,132153,116521988,53212585567,59991641,STK
